name;url;visited;hasManagementPlan;email
RPPN Santuário Rã-Bugio II;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/mata-atlantica/lista-de-ucs/rppn-santuario-ra-bugio-ii/rppn-santuario-ra-bugio-ii;TRUE;TRUE;
RPPN Sítio Pirilampo;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/mata-atlantica/lista-de-ucs/rppn-sitio-pirilampo/rppn-sitio-pirilampo;TRUE;TRUE;
RPPN Urú;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/mata-atlantica/lista-de-ucs/rppn-uru/estrutura;TRUE;TRUE;
Esec de Guaraqueçaba;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/esec-de-guaraquecaba/esec-de-guaraquecaba;TRUE;TRUE;
Esec de Tamoios;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/esec-de-tamoios/esec-de-tamoios;TRUE;TRUE;
Informações Sobre Visitação – Refúgio de Alcatrazes;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/refugio-de-alcatrazes/informacoes-sobre-visitacao-2013-refugio-de-alcatrazes/informacoes-sobre-visitacao-2013-refugio-de-alcatrazes;TRUE;FALSE;3892-4427usopublico.alcatrazes@icmbio.gov.br
Informações Sobre Visitação - Parna Marinho de Fernando de Noronha;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/parna-marinho-de-fernando-de-noronha/informacoes-sobre-visitacao-parna-marinho-de-fernando-de-noronha/informacoes-sobre-visitacao-parna-marinho-de-fernando-de-noronha;TRUE;FALSE;
Informações Sobre Visitação - APA Delta do Parnaíba;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/apa-delta-do-parnaiba/informacoes-sobre-visitacao-apa-delta-do-parnaiba/informacoes-sobre-visitacao-apa-delta-do-parnaiba;TRUE;FALSE;
Mona das Ilhas de Trindade e Martim Vaz e do Monte Columbia;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/mona-das-ilhas-de-trindade-e-martim-vaz-e-do-monte-columbia/mona-das-ilhas-de-trindade-e-martim-vaz-e-do-monte-columbia;TRUE;FALSE;
Mona do Arquipélago das Ilhas Cagarras;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/unidade-de-conservacao/unidades-de-biomas/marinho/lista-de-ucs/mona-do-arquipelago-das-ilhas-cagarras/mona-do-arquipelago-das-ilhas-cagarras;TRUE;TRUE;
